,Tic,Date,Type,Negative,Positive,Uncertainty,Litigious,Constraining,Superfluous,Interesting,Modal,Positiv,Negativ,Pstv,Ngtv,Strong,Weak,Active,Passive,EMOT,Virtue,Vice,Ovrst,Undrst,Role,Need,Goal,Try,Means,Persist,Complet,Fail,Think,Know,Causal,Ought,Perceiv,Compare,EVAL,Solve,ABS,WCount
10,AXR,20120726,10-K,0.0405865553602812,0.011533391915641476,0.017080404217926188,0.018068980667838314,0.016750878734622145,0.0001647627416520211,0.0035149384885764497,0.004887961335676626,0.12694766758090575,0.05668381402879977,0.10037093807139945,0.04806123054901067,0.20876019880578311,0.035410143550796025,0.15379137733665962,0.047773022324043846,0.0032732864674868186,0.050811453454522426,0.01746883891957486,0.048146126537492964,0.015764014105402506,0.023478072527940718,0.004349665968185301,0.010399275043936729,0.0070793277460676415,0.06023235568559053,0.006030839400786677,0.008789580107819344,0.0017037654422320501,0.0,0.033304728462076896,0.013561215896727761,0.0,0.006279585373252992,0.0016430506736965437,0.020955021198046243,0.02366500869700013,0.05174348937529956,18208.0
11,AXR,20120726,10-K,0.0405865553602812,0.011533391915641476,0.017080404217926188,0.018068980667838314,0.016750878734622145,0.0001647627416520211,0.0035149384885764497,0.004887961335676626,0.12694766758090575,0.05668381402879977,0.10037093807139945,0.04806123054901067,0.20876019880578311,0.035410143550796025,0.15379137733665962,0.047773022324043846,0.0032732864674868186,0.050811453454522426,0.01746883891957486,0.048146126537492964,0.015764014105402506,0.023478072527940718,0.004349665968185301,0.010399275043936729,0.0070793277460676415,0.06023235568559053,0.006030839400786677,0.008789580107819344,0.0017037654422320501,0.0,0.033304728462076896,0.013561215896727761,0.0,0.006279585373252992,0.0016430506736965437,0.020955021198046243,0.02366500869700013,0.05174348937529956,18208.0
12,AXR,20120309,10-Q,0.017066321019658673,0.011881615899762367,0.017282350399654353,0.009289263339814214,0.018578526679628428,0.0,0.0034564700799308706,0.004536616979909268,0.10814603773126134,0.04211492763015769,0.08344995179084619,0.036714193130265714,0.18112161655583559,0.03405333774744015,0.13136594988506858,0.04647782188287696,0.004174767768416504,0.04400022818687758,0.010817671203283648,0.04685766095357801,0.015964119172155466,0.01560265183077885,0.0073954057751854235,0.009937351479801253,0.006032316498939959,0.06418087924892849,0.005789587383884209,0.0033286526967667603,0.001868654136962627,0.0,0.03623073477253646,0.012781738316411032,0.0,0.00935549832179774,0.002268308489954634,0.015416618738070452,0.02868581036111821,0.0697923281202607,4629.0
13,AXR,20111209,10-Q,0.015524241700501552,0.008120372581800811,0.016718414139001672,0.01289706233580129,0.016718414139001672,0.0,0.004060186290900406,0.0038213518032003822,0.10767930421620416,0.040238303744394015,0.085033452337011,0.03522277950269352,0.18159998786342232,0.029914484846417025,0.13465508630901524,0.04509721231717886,0.004336836239152933,0.04416980201551494,0.007458175531975387,0.04588723910433965,0.014100557246007448,0.018322689172939947,0.008773186848180875,0.008558235809250855,0.005875276701644029,0.0643919663384674,0.005206591831860521,0.00298571542302137,0.0009399843051622368,0.0,0.034659938421581604,0.011179728638529689,0.0,0.007437290438245776,0.0016718414139001673,0.016331548795126535,0.02795067430247751,0.06888489797493859,4187.0
14,AXR,20111209,10-Q,0.015524241700501552,0.008120372581800811,0.016718414139001672,0.01289706233580129,0.016718414139001672,0.0,0.004060186290900406,0.0038213518032003822,0.10767930421620416,0.040238303744394015,0.085033452337011,0.03522277950269352,0.18159998786342232,0.029914484846417025,0.13465508630901524,0.04509721231717886,0.004336836239152933,0.04416980201551494,0.007458175531975387,0.04588723910433965,0.014100557246007448,0.018322689172939947,0.008773186848180875,0.008558235809250855,0.005875276701644029,0.0643919663384674,0.005206591831860521,0.00298571542302137,0.0009399843051622368,0.0,0.034659938421581604,0.011179728638529689,0.0,0.007437290438245776,0.0016718414139001673,0.016331548795126535,0.02795067430247751,0.06888489797493859,4187.0
15,AXR,20110915,10-Q/A,0.0,0.0,0.0,0.03655913978494624,0.025806451612903226,0.0,0.004301075268817204,0.0,0.04552483358934972,0.0074372759856630825,0.03907322068612391,0.00528673835125448,0.22571956120343217,0.021095750128008194,0.1895326537262021,0.049001536098310296,0.0,0.0161699948796723,0.0014336917562724014,0.05432085835311641,0.019879439556858912,0.06867057673509287,0.0,0.002688172043010753,0.002457757296466974,0.045107526881720435,0.005161290322580645,0.00026881720430107527,0.0,0.0,0.0463049853372434,0.010483870967741936,0.0,0.0038530465949820785,0.0,0.004608294930875576,0.0282642089093702,0.06415770609318996,465.0
16,AXR,20110915,10-Q/A,0.0,0.0,0.0,0.03655913978494624,0.025806451612903226,0.0,0.004301075268817204,0.0,0.04552483358934972,0.0074372759856630825,0.03907322068612391,0.00528673835125448,0.22571956120343217,0.021095750128008194,0.1895326537262021,0.049001536098310296,0.0,0.0161699948796723,0.0014336917562724014,0.05432085835311641,0.019879439556858912,0.06867057673509287,0.0,0.002688172043010753,0.002457757296466974,0.045107526881720435,0.005161290322580645,0.00026881720430107527,0.0,0.0,0.0463049853372434,0.010483870967741936,0.0,0.0038530465949820785,0.0,0.004608294930875576,0.0282642089093702,0.06415770609318996,465.0
17,AXR,20110914,10-Q,0.013430029546065002,0.0083266183185603,0.017727639000805803,0.009401020682245501,0.0182648401826484,0.0,0.0037604082728982004,0.0034918076819769003,0.10968903958428536,0.03914555167576924,0.08529522228152367,0.036190945175634946,0.1844846687916793,0.03275764436118989,0.13612513668919787,0.04432469446570977,0.0041968842331453135,0.04464037171531129,0.009106519320056794,0.047946484529885,0.015541024767455065,0.0186975661995807,0.00906079326707852,0.0093114871519384,0.006197580734244716,0.06601915707475739,0.005157131345688961,0.003037425015668368,0.000389470856835885,0.0,0.033547793418865136,0.011997493061151401,0.0,0.007139514170134638,0.001947354284179425,0.01604548419616913,0.0294768121722191,0.06927434042663695,3723.0
18,AXR,20110914,10-Q,0.013430029546065002,0.0083266183185603,0.017727639000805803,0.009401020682245501,0.0182648401826484,0.0,0.0037604082728982004,0.0034918076819769003,0.10968903958428536,0.03914555167576924,0.08529522228152367,0.036190945175634946,0.1844846687916793,0.03275764436118989,0.13612513668919787,0.04432469446570977,0.0041968842331453135,0.04464037171531129,0.009106519320056794,0.047946484529885,0.015541024767455065,0.0186975661995807,0.00906079326707852,0.0093114871519384,0.006197580734244716,0.06601915707475739,0.005157131345688961,0.003037425015668368,0.000389470856835885,0.0,0.033547793418865136,0.011997493061151401,0.0,0.007139514170134638,0.001947354284179425,0.01604548419616913,0.0294768121722191,0.06927434042663695,3723.0
19,AXR,20110721,10-K,0.04556200300881152,0.010692026649473458,0.017354395013969483,0.022888459058671824,0.015420159037180314,0.0002149151085321298,0.0031162690737158824,0.004405759724908661,0.12266481980779209,0.05952051953825002,0.09893379583498861,0.048076290008914155,0.20605541165260705,0.035450517764347565,0.15327977595869283,0.04850736340098043,0.0034883408553621317,0.04739925597839848,0.01604002282193771,0.047689504241728624,0.015927205957831363,0.026064446156322363,0.004919007312624335,0.010731427752704348,0.007199331848751579,0.05818385026154207,0.005800085454340772,0.0078426957859582,0.0015503704333491568,0.0,0.035178593882655776,0.01347728807835191,0.0,0.006714945810690491,0.001195465291209972,0.020170591193318467,0.02412434110532112,0.05196355033556839,18612.0
20,AXR,20110721,10-K,0.04556200300881152,0.010692026649473458,0.017354395013969483,0.022888459058671824,0.015420159037180314,0.0002149151085321298,0.0031162690737158824,0.004405759724908661,0.12266481980779209,0.05952051953825002,0.09893379583498861,0.048076290008914155,0.20605541165260705,0.035450517764347565,0.15327977595869283,0.04850736340098043,0.0034883408553621317,0.04739925597839848,0.01604002282193771,0.047689504241728624,0.015927205957831363,0.026064446156322363,0.004919007312624335,0.010731427752704348,0.007199331848751579,0.05818385026154207,0.005800085454340772,0.0078426957859582,0.0015503704333491568,0.0,0.035178593882655776,0.01347728807835191,0.0,0.006714945810690491,0.001195465291209972,0.020170591193318467,0.02412434110532112,0.05196355033556839,18612.0
21,AXR,20110307,10-Q,0.015968925334484248,0.010574018126888218,0.01683211048769961,0.00927924039706517,0.013379369874838154,0.0,0.0036685369011653,0.0028053517479499353,0.11126585075117659,0.04723566667351733,0.09249157366874243,0.04227235204252898,0.17619175530267459,0.03068485427678349,0.1286612562616016,0.04306176487876962,0.004689972665803481,0.04293551722338948,0.010476139096121835,0.04168962421551976,0.0135492977745891,0.013444202179635932,0.008657304427697177,0.010753848367141418,0.0060101565820167464,0.06237069349391316,0.007056538627535607,0.004472378075097108,0.0007103294490001438,0.0,0.034837684255034265,0.011545101424255503,0.0,0.0077397767676144905,0.0009710832973672853,0.015024302772468502,0.026024798823676688,0.07436442855087655,4634.0
22,AXR,20110307,10-Q,0.015968925334484248,0.010574018126888218,0.01683211048769961,0.00927924039706517,0.013379369874838154,0.0,0.0036685369011653,0.0028053517479499353,0.11126585075117659,0.04723566667351733,0.09249157366874243,0.04227235204252898,0.17619175530267459,0.03068485427678349,0.1286612562616016,0.04306176487876962,0.004689972665803481,0.04293551722338948,0.010476139096121835,0.04168962421551976,0.0135492977745891,0.013444202179635932,0.008657304427697177,0.010753848367141418,0.0060101565820167464,0.06237069349391316,0.007056538627535607,0.004472378075097108,0.0007103294490001438,0.0,0.034837684255034265,0.011545101424255503,0.0,0.0077397767676144905,0.0009710832973672853,0.015024302772468502,0.026024798823676688,0.07436442855087655,4634.0
23,AXR,20101209,10-Q,0.025742988698200082,0.007534533277521975,0.016115529510255338,0.017789870238593554,0.01381331100879029,0.0,0.0029300962745918793,0.0027208036835496023,0.10662934282126416,0.052156128950812904,0.08842088740058605,0.04357513271807954,0.17505281100927816,0.0325192440460335,0.13280929746501127,0.04676082428803232,0.004810241384121668,0.03948404393151149,0.01051421196356316,0.042278281227632414,0.013537636727255815,0.016909029299150682,0.009205385796009487,0.009236779684665828,0.005804585047992332,0.05960794182330387,0.006294474675596484,0.004053549004365246,0.0006889214455141621,0.0,0.035875276530362335,0.011763987721501324,0.0,0.008151833167530112,0.0013604018417748011,0.014442434571149514,0.026620877494674063,0.06945391244261065,4778.0
24,AXR,20101209,10-Q,0.025742988698200082,0.007534533277521975,0.016115529510255338,0.017789870238593554,0.01381331100879029,0.0,0.0029300962745918793,0.0027208036835496023,0.10662934282126416,0.052156128950812904,0.08842088740058605,0.04357513271807954,0.17505281100927816,0.0325192440460335,0.13280929746501127,0.04676082428803232,0.004810241384121668,0.03948404393151149,0.01051421196356316,0.042278281227632414,0.013537636727255815,0.016909029299150682,0.009205385796009487,0.009236779684665828,0.005804585047992332,0.05960794182330387,0.006294474675596484,0.004053549004365246,0.0006889214455141621,0.0,0.035875276530362335,0.011763987721501324,0.0,0.008151833167530112,0.0013604018417748011,0.014442434571149514,0.026620877494674063,0.06945391244261065,4778.0
25,AXR,20100910,10-Q,0.01906158357771261,0.006598240469208211,0.015762463343108504,0.009714076246334311,0.011363636363636364,0.0,0.002749266862170088,0.004215542521994135,0.10440384548247453,0.041006624423963134,0.08754167539449799,0.03697436635944701,0.19727124761032372,0.029776027979840296,0.14288721725488593,0.05275836242203545,0.003974217986314759,0.04605632942326491,0.010129084625052368,0.04787151997562556,0.015694320138968234,0.04396974298917113,0.006998411534701857,0.009051197458455522,0.005475087595688769,0.057030049923195075,0.005263318670576735,0.004676808406647116,0.0015502810361681326,0.0,0.04135882293415284,0.012379337732160314,0.0,0.006074332558936665,0.0011608015640273705,0.01773451682725876,0.026332885304659496,0.06566020225294417,5456.0
26,AXR,20100910,10-Q,0.01906158357771261,0.006598240469208211,0.015762463343108504,0.009714076246334311,0.011363636363636364,0.0,0.002749266862170088,0.004215542521994135,0.10440384548247453,0.041006624423963134,0.08754167539449799,0.03697436635944701,0.19727124761032372,0.029776027979840296,0.14288721725488593,0.05275836242203545,0.003974217986314759,0.04605632942326491,0.010129084625052368,0.04787151997562556,0.015694320138968234,0.04396974298917113,0.006998411534701857,0.009051197458455522,0.005475087595688769,0.057030049923195075,0.005263318670576735,0.004676808406647116,0.0015502810361681326,0.0,0.04135882293415284,0.012379337732160314,0.0,0.006074332558936665,0.0011608015640273705,0.01773451682725876,0.026332885304659496,0.06566020225294417,5456.0
27,AXR,20100721,10-K,0.03913722428264688,0.009564708178801484,0.015664649619363653,0.018251024790162013,0.01259027913332032,0.00019519812609798947,0.002391177044700371,0.004001561585008784,0.11908234558293117,0.0532081468940975,0.09567187941431547,0.043594639183771544,0.21014131345480172,0.03273224108184094,0.15123828208629594,0.04740908450648838,0.0033927874292406794,0.04877027794141791,0.015605451140050007,0.046030906841223074,0.014661900226998802,0.0309155594876852,0.0046893847254963796,0.011008360986401195,0.006599873384472253,0.05763573505192185,0.006546921911454411,0.007276600779553152,0.0016827481679619102,9.759906304899473e-05,0.03363323798005627,0.012148178615580528,0.0,0.0062801220917802995,0.001028856789641486,0.020754995297499686,0.023714154349890246,0.05302889467441487,20492.0
28,AXR,20100721,10-K,0.03913722428264688,0.009564708178801484,0.015664649619363653,0.018251024790162013,0.01259027913332032,0.00019519812609798947,0.002391177044700371,0.004001561585008784,0.11908234558293117,0.0532081468940975,0.09567187941431547,0.043594639183771544,0.21014131345480172,0.03273224108184094,0.15123828208629594,0.04740908450648838,0.0033927874292406794,0.04877027794141791,0.015605451140050007,0.046030906841223074,0.014661900226998802,0.0309155594876852,0.0046893847254963796,0.011008360986401195,0.006599873384472253,0.05763573505192185,0.006546921911454411,0.007276600779553152,0.0016827481679619102,9.759906304899473e-05,0.03363323798005627,0.012148178615580528,0.0,0.0062801220917802995,0.001028856789641486,0.020754995297499686,0.023714154349890246,0.05302889467441487,20492.0
29,AXR,20100310,10-Q,0.016482521282376383,0.009780836804926644,0.014490128599891324,0.007063937692447021,0.014309001992392682,0.0,0.003984785364970114,0.004165911972468755,0.10618116110780483,0.04261265787483862,0.08643836089045288,0.037722239472375296,0.19920249003748353,0.02963309708464571,0.13567529770436856,0.04960055189633166,0.0038157338646380486,0.04777781537426528,0.010746629751339044,0.046610403724151234,0.015913788962149768,0.03748313209461552,0.00661506880488949,0.01010082714484091,0.005024212640586486,0.0583115909528697,0.006737909798949466,0.0050007115688151735,0.001191338698130946,0.0,0.03398194964487302,0.013595276908082557,0.0,0.006725413239178862,0.0014490128599891324,0.017288319058831644,0.023639743751589438,0.07089108540838299,5521.0
30,AXR,20100310,10-Q,0.016482521282376383,0.009780836804926644,0.014490128599891324,0.007063937692447021,0.014309001992392682,0.0,0.003984785364970114,0.004165911972468755,0.10618116110780483,0.04261265787483862,0.08643836089045288,0.037722239472375296,0.19920249003748353,0.02963309708464571,0.13567529770436856,0.04960055189633166,0.0038157338646380486,0.04777781537426528,0.010746629751339044,0.046610403724151234,0.015913788962149768,0.03748313209461552,0.00661506880488949,0.01010082714484091,0.005024212640586486,0.0583115909528697,0.006737909798949466,0.0050007115688151735,0.001191338698130946,0.0,0.03398194964487302,0.013595276908082557,0.0,0.006725413239178862,0.0014490128599891324,0.017288319058831644,0.023639743751589438,0.07089108540838299,5521.0
31,AXR,20091210,10-Q,0.01355856857079351,0.00866859302067126,0.018893087352745055,0.009557679484329852,0.014669926650366748,0.0,0.003556345854634363,0.00288953100689042,0.11442066490966245,0.045370002857777904,0.09063760200679515,0.042258200234972836,0.18609966630637897,0.026067336753044693,0.13217874682922479,0.042960738231909594,0.004145365636808179,0.04544587441897956,0.009599223107780568,0.042331268420399346,0.015743325356572746,0.01364050115994993,0.008143405087170368,0.011987849151663331,0.005593151014355726,0.0623568464949883,0.00788323331110617,0.004719699615787635,0.0007951502450279956,0.0,0.032678005849821806,0.010886016998486438,0.0,0.00811160296323666,0.0011113580795732384,0.0170670201843796,0.023029708862671746,0.06648144032007113,4499.0
32,AXR,20091210,10-Q,0.01355856857079351,0.00866859302067126,0.018893087352745055,0.009557679484329852,0.014669926650366748,0.0,0.003556345854634363,0.00288953100689042,0.11442066490966245,0.045370002857777904,0.09063760200679515,0.042258200234972836,0.18609966630637897,0.026067336753044693,0.13217874682922479,0.042960738231909594,0.004145365636808179,0.04544587441897956,0.009599223107780568,0.042331268420399346,0.015743325356572746,0.01364050115994993,0.008143405087170368,0.011987849151663331,0.005593151014355726,0.0623568464949883,0.00788323331110617,0.004719699615787635,0.0007951502450279956,0.0,0.032678005849821806,0.010886016998486438,0.0,0.00811160296323666,0.0011113580795732384,0.0170670201843796,0.023029708862671746,0.06648144032007113,4499.0
33,AXR,20090909,10-Q,0.01456531634046427,0.006827492034592627,0.02002730996813837,0.01137915339098771,0.018434228493400092,0.0,0.0034137460172963133,0.0038689121529358215,0.11307871122959878,0.04186286675191998,0.09054798751544313,0.03844912073462367,0.18224404811796716,0.024949508085602763,0.13738141662868572,0.04406617885225077,0.004308906084054012,0.04539898729703008,0.007309480460368034,0.040771334188493956,0.015972029285638754,0.01582850088767248,0.0066600142385303965,0.010813988772568653,0.0058352472895030925,0.05969616757338652,0.0077302382036109835,0.005989363200901662,0.0010430890608405402,0.0,0.03323031846017736,0.011938628432711271,0.0,0.00849238286368464,0.0012517068730086482,0.015513308190822986,0.02352719190736943,0.06955769411390714,4394.0
34,AXR,20090909,10-Q,0.01456531634046427,0.006827492034592627,0.02002730996813837,0.01137915339098771,0.018434228493400092,0.0,0.0034137460172963133,0.0038689121529358215,0.11307871122959878,0.04186286675191998,0.09054798751544313,0.03844912073462367,0.18224404811796716,0.024949508085602763,0.13738141662868572,0.04406617885225077,0.004308906084054012,0.04539898729703008,0.007309480460368034,0.040771334188493956,0.015972029285638754,0.01582850088767248,0.0066600142385303965,0.010813988772568653,0.0058352472895030925,0.05969616757338652,0.0077302382036109835,0.005989363200901662,0.0010430890608405402,0.0,0.03323031846017736,0.011938628432711271,0.0,0.00849238286368464,0.0012517068730086482,0.015513308190822986,0.02352719190736943,0.06955769411390714,4394.0
35,AXR,20090714,10-K,0.03716584479626265,0.010796781728523228,0.016610433428497273,0.015935634570464572,0.012821178302621333,0.00015572281339216196,0.003166363872307293,0.003789255125875941,0.1244126669535442,0.052144694348821026,0.09930354301234137,0.04498144493278158,0.212104527534063,0.031989041756755245,0.15278537010758658,0.04584413812677505,0.0034739164287568127,0.04766605687187053,0.014640910607689742,0.04297884354593412,0.01416543545274404,0.02473871487107926,0.0048467061963039125,0.012844536724630156,0.006383000164469149,0.06023630599869894,0.007448370471988431,0.008052218638125724,0.0015722204951377024,0.0,0.033441532081552844,0.011365911534611249,0.0,0.007197177552095797,0.001107362228566485,0.019822311955714503,0.02284058841351859,0.05352991559583825,19265.0
36,AXR,20090714,10-K,0.03716584479626265,0.010796781728523228,0.016610433428497273,0.015935634570464572,0.012821178302621333,0.00015572281339216196,0.003166363872307293,0.003789255125875941,0.1244126669535442,0.052144694348821026,0.09930354301234137,0.04498144493278158,0.212104527534063,0.031989041756755245,0.15278537010758658,0.04584413812677505,0.0034739164287568127,0.04766605687187053,0.014640910607689742,0.04297884354593412,0.01416543545274404,0.02473871487107926,0.0048467061963039125,0.012844536724630156,0.006383000164469149,0.06023630599869894,0.007448370471988431,0.008052218638125724,0.0015722204951377024,0.0,0.033441532081552844,0.011365911534611249,0.0,0.007197177552095797,0.001107362228566485,0.019822311955714503,0.02284058841351859,0.05352991559583825,19265.0
37,AXR,20090312,10-Q,0.03884297520661157,0.009917355371900827,0.02181818181818182,0.018016528925619835,0.011900826446280991,0.0,0.0036363636363636364,0.002644628099173554,0.10518992164859935,0.06041856880493244,0.08106520339164966,0.04818716384625475,0.1846490713143605,0.03343637079174269,0.14244215128306037,0.048908796437722064,0.0030027548209366393,0.03995883455387587,0.01498642266824085,0.04115493184501449,0.013802189545991198,0.0159402168079854,0.0053818605636787465,0.013760330578512394,0.0065228930848765555,0.05617360440294325,0.008677685950413223,0.008355667060212514,0.004378787878787879,0.0,0.03303000855893418,0.013698347107438016,0.0,0.007600559908411149,0.0004958677685950413,0.01710627526743229,0.024603404171585987,0.066773138707023,6050.0
38,AXR,20090312,10-Q,0.03884297520661157,0.009917355371900827,0.02181818181818182,0.018016528925619835,0.011900826446280991,0.0,0.0036363636363636364,0.002644628099173554,0.10518992164859935,0.06041856880493244,0.08106520339164966,0.04818716384625475,0.1846490713143605,0.03343637079174269,0.14244215128306037,0.048908796437722064,0.0030027548209366393,0.03995883455387587,0.01498642266824085,0.04115493184501449,0.013802189545991198,0.0159402168079854,0.0053818605636787465,0.013760330578512394,0.0065228930848765555,0.05617360440294325,0.008677685950413223,0.008355667060212514,0.004378787878787879,0.0,0.03303000855893418,0.013698347107438016,0.0,0.007600559908411149,0.0004958677685950413,0.01710627526743229,0.024603404171585987,0.066773138707023,6050.0
